Elapsed Time (ms),Object 1,Object 2,Object 3,Object 4 
0,405,560,0,242
50,405,560,0,242
100,405,-50,0,242
150,404,-1681,0,242
200,405,-473,0,242
250,405,-958,0,242
300,405,-10,0,242
350,405,-25,0,241
400,405,1807,0,242
450,405,0,0,242
500,405,-9,0,242
550,405,820,0,242
600,404,-1861,0,241
650,404,-1861,0,241
700,405,253,0,242
750,405,3,0,242
800,405,-633,0,242
850,406,717,0,242
900,405,-17,0,242
950,405,-190,0,242
1000,405,0,0,241
1050,405,93,0,241
1100,405,-21,0,241
1150,404,487,0,241
1200,405,-26,0,241
1250,405,109,0,241
1300,405,109,0,241
1350,405,-217,0,241
1400,405,-435,0,242
1450,405,109,0,241
1500,405,0,0,242
1550,405,0,0,241
1600,405,0,0,242
1650,405,127,0,242
1700,405,4,0,241
1750,405,-1849,0,242
1800,405,773,0,242
1850,405,355,0,242
1900,405,13,0,242
1950,405,13,0,242
2000,405,325,0,242
2050,405,-293,0,242
2100,405,259,0,242
2150,406,0,0,242
2200,405,-71,0,242
2250,405,24,0,242
2300,406,544,0,242
2350,405,355,0,242
2400,405,-110,0,242
2450,405,77,0,242
2500,405,0,0,241
2550,405,79,0,241
2600,405,-1361,0,242
2650,405,-1361,0,242
2700,405,-46,0,242
2750,405,3,0,242
2800,405,-58,0,241
